state,name,ctyfips,stover40,straw40,switchgrass40,miscanthus40,stover50,straw50,switchgrass50,miscanthus50,stover60,straw60,switchgrass60,miscanthus60,stover70,straw70,switchgrass70,miscanthus70,stover80,straw80,switchgrass80,miscanthus80,stover90,straw90,switchgrass90,miscanthus90,stover100,straw100,switchgrass100,miscanthus100,stover120,straw120,switchgrass120,miscanthus120,stover140,straw140,switchgrass140,miscanthus140,empty
Alabama,Autauga,1001,,,,59.75,,,,58.36,,,,58.36,,,,59.93,0.98,,,59.95,0.94,,,58.36,0.94,,,110.79,0.93,,,58.36,0.99,,,60.46,0
Alabama,Baldwin,1003,,,,,,,,178.31,,,,188.22,,,,188.22,3.27,0.69,,188.22,3.29,0.69,,188.22,3.26,0.69,,188.22,3.81,0.67,,188.22,3.84,0.67,,188.22,0
Alabama,Barbour,1005,,,,262.27,,,,262.27,,,,262.27,,,,262.27,,,,262.59,2,0.08,,263.56,1.99,0.08,,263.56,1.88,0.08,,262.27,1.99,0.08,,262.27,0
Alabama,Bibb,1007,,,,28.53,,,,28.53,,,,27.16,,,,28.53,,,,28.53,0.16,,,28.53,0.16,,,28.53,0.17,,,28.53,0.17,,,18.01,0
Alabama,Blount,1009,,,,151.01,,,,151.01,,,,146.95,,,,151.01,,,,151.01,0.16,,,151.01,0.16,,,151.01,0.17,,,151.01,0.17,,,119.81,0
Alabama,Bullock,1011,,,,226.78,,,,226.78,,,,226.78,,,,226.78,,,,203.78,0.99,0.04,,135.06,0.98,0.04,,135.06,0.93,0.04,,226.78,0.99,0.04,,226.78,0
Alabama,Butler,1013,,,,,,,,88.29,,,,88.29,,,,87.85,,,,86.8,0.64,,,86.8,0.69,,,86.8,0.63,,,86.8,0.63,,,86.8,0
Alabama,Calhoun,1015,,,,105.72,,,,101.74,,,,106.2,4.2,,,109.65,4.25,,,101.74,4.29,0.26,,101.74,5.88,0.23,,106.02,13.9,,,101.74,13.74,,,101.74,0
Alabama,Chambers,1017,,,,67.49,,,,67.49,,,,67.49,0.41,,,43.93,0.42,,,67.49,0.41,0.07,,67.49,0.41,0.07,,43.93,0.91,0.27,,67.49,0.92,0.27,,67.49,0
Alabama,Cherokee,1019,,,,148.51,,,,163.86,,,,146.66,9.61,,,133.31,9.73,,,163.86,9.82,0.59,,163.86,13.46,0.53,,147.35,31.82,,,163.86,31.47,,,163.86,0
