"FIPS","CODE","CMZ","total_acres","residue","avg_res_acre","cgy","cgr","sgr","sgr","sby","sbr","wheaty","wheatr","barleyy","barleyr","oaty","oatr","ryey","ryer","coty","cotr","suny","sunr","flay","flar","safy","safr","cany","canr","poty","potr"
"AL001","AL001",69,11665,1702.94,0.15,64.4,3405880,0,0,33.5,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0
"AL003","AL003",69,11384.2,2138.74,0.19,126.4,2306050,0,0,44.9,0,60.8,1971420,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
"AL005","AL005",69,9592.29,878.46,0.09,109.1,1756930,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0
"AL007","AL007",69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL009","AL009",66,843.28,40.53,0.05,126,81062.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL011","AL011",69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL013","AL013",69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL015","AL015",66,2915.22,384.49,0.13,99.1,768974,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL017","AL017",66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL019","AL019",66,12252.8,573.16,0.05,60.9,1146330,0,0,34.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL021","AL021",69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL023","AL023",69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL025","AL025",69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL027","AL027",66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL029","AL029",66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL031","AL031",69,40361.3,1459.07,0.04,84.2,2918140,0,0,37.4,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0
"AL033","AL033",63,41944.3,2892.93,0.07,115.4,5785860,0,0,46.7,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0
"AL035","AL035",69,5409.28,115.33,0.02,62.5,230660,0,0,50.3,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0
"AL037","AL037",69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL039","AL039",69,13895.2,398.22,0.03,61.1,796444,0,0,40.8,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0
"AL041","AL041",69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL043","AL043",66,5103.3,174.36,0.03,79.3,348713,0,0,35.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL045","AL045",69,6746.22,352.23,0.05,75.6,704460,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0
"AL047","AL047",69,9423.46,1160.87,0.12,75.2,2321740,0,0,45.8,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0
"AL049","AL049",66,19799.7,1199.1,0.06,94.2,703840,0,0,28.2,0,44.7,1694360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL051","AL051",69,13262.7,879.25,0.07,85.9,1758500,0,0,27.4,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0
"AL053","AL053",69,13743,3027.93,0.22,111.2,3172790,0,0,45.4,0,55.7,2883070,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
"AL055","AL055",66,4071.83,299.69,0.07,85.5,599382,0,0,38.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL057","AL057",69,6076.48,801.6,0.13,74.1,1603190,0,0,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL059","AL059",63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL061","AL061",69,12965.4,936.31,0.07,94.5,1872620,0,0,40.8,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0
"AL063","AL063",69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
