"CODE","FIPS","cgy","cga","Sby","Sba","GSY","Gsa","Wwy","Wwa","SWY","SWA","Bry","Bra","oty","ota","ctuy","ctua","cany","cana","suny","suna","ricey","ricea"
"AL1","01001",64.41,2108.19,33.52,1862.15,0,0,0,0,0,0,0,0,0,0,655.73,3936.51,0,0,0,0,0,0
"AL3","01003",126.45,3794.75,44.87,14211.11,0,0,60.77,6815.81,0,0,0,0,0,0,1003.37,9447.62,0,0,0,0,0,0
"AL5","01005",109.13,3197.43,0,0,0,0,0,0,0,0,0,0,0,0,719.87,4704.13,0,0,0,0,0,0
"AL7","01007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL9","01009",125.96,843.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL11","01011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL13","01013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL15","01015",99.08,1194.64,31.99,2580.87,0,0,0,0,0,0,0,0,0,0,814.82,3346.03,0,0,0,0,0,0
"AL17","01017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL19","01019",60.88,3127.15,34.45,13688.41,0,0,0,0,0,0,0,0,0,0,694.71,13567.83,0,0,0,0,0,0
"AL21","01021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL23","01023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL25","01025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL27","01027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL29","01029",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL31","01031",84.25,6851.63,37.43,6664.52,0,0,0,0,0,0,0,0,0,0,611,15549.21,0,0,0,0,0,0
"AL33","01033",115.45,16197.95,46.68,12692,0,0,0,0,0,0,0,0,0,0,551.78,17156.61,0,0,0,0,0,0
"AL35","01035",62.51,1194.64,50.28,2646.21,0,0,0,0,0,0,0,0,0,0,854.94,4297.35,0,0,0,0,0,0
"AL37","01037",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL39","01039",61.15,2635.24,40.78,2156.17,0,0,0,0,0,0,0,0,0,0,768.15,14466.67,0,0,0,0,0,0
"AL41","01041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL43","01043",79.26,2424.42,35.13,4018.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL45","01045",75.57,2248.74,0,0,0,0,0,0,0,0,0,0,0,0,636.63,9736.3,0,0,0,0,0,0
"AL47","01047",75.22,4690.73,45.81,8918.7,0,0,0,0,0,0,0,0,0,0,585.4,5084.66,0,0,0,0,0,0
"AL49","01049",94.16,11147.07,28.2,10756.34,0,0,44.73,1975.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
