qid,crop,gross_residue_yield (bdt/acre),required_residue_per_acre (bdt/acre),acres,quant_38 (bdt),quant_70 (bdt)
S04003,barley,4.68206746315487,4.68206746315487,2876.36363636364,0,0
S04009,barley,3.65478489804819,3.65478489804819,1018.18181818182,0,0
S04012,barley,5.2559287581455,5.2559287581455,1018.18181818182,0,0
S04013,barley,3.84497431437074,3.84497431437074,10334.5454545455,0,0
S04019,barley,3.31959831911008,3.31959831911008,1883.63636363636,0,0
S04021,barley,4.18041463503166,4.18041463503166,16825.4545454545,0,0
S04027,barley,3.05482632179845,3.05482632179845,2511.51515151515,0,0
S06019,barley,2.32404381058243,2.32404381058243,12778.1818181818,0,0
S06021,barley,2.32657965398247,0.026079653982468,984.242424242424,870.168991554946,1602.94287918016
S06029,barley,2.60475939559308,2.60475939559308,3207.27272727273,0,0
S06031,barley,2.61801938615289,2.61801938615289,2850.90909090909,0,0
S06033,barley,1.21826163268273,0,203.636363636364,94.27130015814,173.657658186047
S06035,barley,5.22112128292599,1.43720128292599,712.727272727273,1414.0695023721,2604.86487279071
S06037,barley,1.79606572132654,1.79606572132654,509.090909090909,0,0
S06039,barley,2.19480468745222,0,1374.54545454545,1146.40634656595,2111.80116472676
S06047,barley,1.50368292948268,1.50368292948268,3054.54545454545,0,0
S06049,barley,3.49467051203846,0.91458051203846,2545.45454545454,3380.29947709902,6226.86745781398
S06053,barley,1.66882889111821,1.66882889111821,2570.90909090909,0,0
S06065,barley,0.98505154871204,0.98505154871204,305.454545454545,0,0
S06067,barley,2.29729336448743,2.29729336448743,916.363636363636,0,0
S06069,barley,1.15560817728762,1.15560817728762,509.090909090909,0,0
S06077,barley,1.66603493889938,1.66603493889938,950.30303030303,0,0
S06079,barley,0.98615504656773,0.98615504656773,14050.9090909091,0,0
S06089,barley,1.39229900878026,0.37361900878026,203.636363636364,107.73862875216,198.465895069768
S06093,barley,2.71445434597894,1.59838434597894,4021.81818181818,4148.47590010192,4488.63061818182
S06095,barley,1.44799096913147,1.44799096913147,509.090909090909,0,0
S06097,barley,1.21826163268273,1.21826163268273,203.636363636364,0,0
S06103,barley,1.52343414797934,0.45105414797933,1459.39393939394,844.850413798188,1556.30339383877
S06107,barley,1.28091508807784,0,712.727272727273,346.918384581955,639.060182124654
S06113,barley,1.86650661185551,0,2002.42424242424,1420.26447352535,2616.27666175722
